,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,1997
Acura,,110392,118016,142681,170469,165552,170918,198919,209610,201223,180104,144504,105723,133606,123299,156216,165436,167843,177165,161360,154602,158934,0,,,,,,,,,,,108143
Alfa Romeo,,4502,8201,6320,4476,2920,3482,3478,2941,1325,565,414,0,0,0,0,0,91,663,528,12031,23800,0,,,,,,,,,,,3702
Aston Martin,,0,0,0,302,487,519,469,492,443,2058,1600,1140,840,804,816,828,1160,1020,0,0,0,0,,,,,,,,,,,0
Audi,,47517,65959,80372,83283,85726,35378,30749,83066,80113,93506,87760,82716,101629,117561,139310,158061,182011,202202,210213,226511,223323,0,,,,,,,,,,,34160
Bentley,,0,0,0,0,0,437,2394,3654,3856,3990,2693,1367,1430,1877,2315,2841,3003,2686,2581,2405,0,0,,,,,,,,,,,0
BMW,,131559,154970,189423,213127,256622,240859,260079,266200,274432,293795,249113,196502,220113,247907,281460,309280,339738,346023,313174,305685,311014,0,,,,,,,,,,,122468
Buick,http://logok.org/wp-content/uploads/2014/05/Buick-logo.png,398156,445611,339445,405678,432017,336788,309639,282288,240657,185791,137197,102306,155389,177633,180408,205509,228963,223055,229631,219231,206863,0,,,,,,,,,,,438064
Cadillac,,187343,178507,189154,172083,199946,216090,234217,235002,227014,214726,161159,109092,146925,152389,149782,182543,170750,175267,170006,156440,154702,0,,,,,,,,,,,182624
Chevrolet,http://eskipaper.com/images/chevy-logo-3.jpg,2426530,2610324,2615884,2689954,2642786,2641586,2748365,2651124,2396532,2250352,1790519,1338612,1563881,1775802,1851646,1947125,2033442,2125347,2096508,2065879,2036023,2052372,,,,,,,,,,,2484945
Chrysler,https://www.pngfind.com/pngs/m/10-108942_chrysler-logo-vector-free-download-dodge-stickers-hd.png,307841,321404,484297,530454,480263,463590,588891,649293,604874,543011,335108,177015,197446,221346,307967,302492,308785,324846,239492,188545,165964,0,,,,,,,,,,,265582
Daewoo,,2242,30787,68360,48296,19694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
Dodge,http://logok.org/wp-content/uploads/2014/12/Dodge-logo-red-880x660.png,1522179,1569628,1505669,1285817,1264765,1223302,1189894,1179008,1077579,1057646,784113,327574,383675,451732,532064,605243,585466,517153,506453,446994,459324,0,,,,,,,,,,,1234509
Ferrari,,820,996,12,114,1204,1312,1176,142,1513,1761,17,1467,1547,1701,1764,1944,211,2124,2326,2518,0,0,,,,,,,,,,,0
Fiat,,0,0,0,0,0,0,0,0,0,0,0,0,0,19769,43772,43236,46121,4241,33777,26492,15521,0,,,,,,,,,,,0
Ford,http://logok.org/wp-content/uploads/2014/04/Ford-logo-880x633.png,3288544,3414169,3457996,3294190,2990472,2886575,2766025,2634041,2415059,2087048,1680321,1440653,1752511,2057210,2160859,2403542,2376841,2501855,2487487,2464041,2381635,2361078,,,,,,,,,,,3212698
GMC,http://dwglogo.com/wp-content/uploads/2016/12/GMC-Vector.png,467982,541987,528639,554753,560868,563479,581684,537572,456565,484932,361739,253053,333204,397973,413881,450901,501853,558697,546628,560687,556449,582528,,,,,,,,,,,443640
Honda,http://logok.org/wp-content/uploads/2014/06/Honda-auto-logo.png,899208,958887,1016179,1037170,1082282,1178929,1195479,1252862,1308135,1371438,1284261,1045061,1096874,1023986,1266569,1359876,1373029,1409386,1476582,1486827,1486827,1485853.5,,,,,,,,,,,832243
Hummer,,0,0,875,768,19581,35259,29345,56727,71524,55986,27485,9046,3812,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
Hyundai,,90217,164190,244391,346235,375119,400221,418615,455012,455520,467009,401742,435064,538228,645691,703007,720783,725718,761710,768057,664943,667634,681607.5,,,,,,,,,,,113186
Infinity,,63649,72637,78351,71365,87911,118655,130986,136401,121146,127038,112989,81089,103411,98461,119877,116455,11733,133498,138293,153415,14928,0,,,,,,,,,,,65552
Isuzu,,108478,111530,104485,84476,57135,30328,27188,12177,8614,7098,4758,165,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,91530
Jaguar,,22503,35039,43728,44532,61204,54655,45875,30424,20683,15683,14824,11955,1334,12276,12011,16952,15773,14466,31243,39594,0,0,,,,,,,,,,,19503
