Year,Total Sales,Acura,Alfa Romeo,Aston Martin,Audi,Bentley,BMW,Buick,Cadillac,Chevrolet,Chrysler,Daewoo,Dodge,Ferrari,Fiat,Ford,GMC,Honda,Hummer,Hyundai,Infinity,Isuzu,Jaguar,Jeep,Kia,Lamborghini,Land Rover,Lexus,Lincoln,Lotus,Maserati,Mazda,Mercedes-Benz,Mercury ,Mini,Mitsubishi,Nissan,Oldsmobile,Pontiac,Porsche,Ram,Saab,Saturn,Scion,Smart,Subaru,Suzuki,Tesla,Toyota,Triumph,Volvo,Volkswagon,Yugo
2019,0,0,0,0,0,0,0,0,0,2052372,0,0,0,0,0,2361078,582528,1485853.5,0,681607.5,0,0,0,912562,628468.5,0,0,0,0,0,0,0,0,0,0,0,975679.5,0,0,0,666336,0,0,0,0,710505,0,0,2132163,0,0,0,0
2018,17177393,158934,23800,0,223323,0,311014,206863,154702,2036023,165964,0,459324,0,15521,2381635,556449,1486827,0,667634,14928,0,0,973227,589673,0,92143,298302,92143,0,0,300325,354144,0,43684,118074,1344597,0,0,57202,597368,0,0,4,1276,680135,0,191627,2128201,0,98263,354064,0
2017,17007887,154602,12031,0,226511,2405,305685,219231,156440,2065879,188545,0,446994,2518,26492,2464041,560687,1486827,0,664943,153415,0,39594,828522,589668,1095,74739,305229,111159,0,13711,28947,372240,0,47102,103686,1440049,0,0,55420,556790,0,0,51158,3071,647956,0,50145,2129177,0,81507,339676,0
2016,17558551,161360,528,0,210213,2581,313174,229631,170006,2096508,239492,0,506453,2326,33777,2487487,546628,1476582,0,768057,138293,0,31243,929446,647598,1033,73858,331228,111724,0,12534,297773,374540,0,52030,96267,1426130,0,0,54280,542884,0,0,12027,6211,615132,0,47644,2106332,0,82593,322948,0
2015,17433966,177165,663,1020,202202,2686,346023,223055,175267,2125347,324846,0,517153,2124,4241,2501855,558697,1409386,0,761710,133498,0,14466,865028,625818,756,70582,344601,101227,80,11697,319183,372977,0,58514,95342,1351420,0,0,51756,493807,0,0,56167,7484,582675,0,25416,2098545,0,70047,349440,0
2014,16424212,167843,91,1160,182011,3003,339738,228963,170750,2033442,308785,0,585466,211,46121,2376841,501853,1373029,0,725718,11733,0,15773,692348,580234,736,51465,311389,94474,140,12942,305801,356134,0,56112,77643,1269565,0,0,47006,469139,0,0,58009,10453,513693,0,16689,2004373,0,56366,366970,0
2013,15544448,165436,0,828,158061,2841,309280,205509,182543,1947125,302492,0,605243,1944,43236,2403542,450901,1359876,0,720783,116455,0,16952,490454,535179,552,5001,273847,81694,264,4768,283946,334324,0,66502,62227,1131965,0,0,42324,367843,0,0,68321,9264,424683,5432,0,1893874,0,61233,407704,0
2012,14123623,156216,0,816,139310,2315,281460,180408,149782,1851646,307967,0,532064,1764,43772,2160859,413881,1266569,0,703007,119877,0,12011,474131,557599,410,43664,244162,8215,242,2765,27705,294993,0,66123,5779,1021779,0,0,35043,300928,0,0,73501,10009,336441,25357,0,1764802,0,68117,438134,0
2011,12708180,123299,0,804,117561,1877,247907,177633,152389,1775802,221346,0,451732,1701,19769,2057210,397973,1023986,0,645691,98461,0,12276,419349,485492,340,38099,198552,85643,230,2321,250426,261769,248,57511,7902,944073,0,0,29023,257610,5610,0,49271,5208,266989,26618,0,1396837,0,67240,324402,0
2010,11587262,133606,0,840,101629,1430,220113,155389,146925,1563881,197446,0,383675,1547,0,1752511,333204,1096874,3812,538228,103411,0,1334,291138,366268,290,31864,229329,85828,220,1897,229566,224944,93195,45644,55683,805159,0,1182,25320,212952,5445,6698,45678,5927,263820,23994,0,1488588,0,53948,256830,0
2009,10431112,105723,0,1140,82716,1367,196502,102306,109092,1338612,177015,0,327574,1467,0,1440653,253053,1045061,9046,435064,81089,165,11955,231701,300063,353,26306,215975,82847,720,1273,207767,190538,92299,45225,53986,689014,0,178300,19696,195112,8680,72660,57961,14595,216652,38689,0,1496211,0,61435,213454,0
2008,13529309,144504,414,1600,87760,2693,249113,137197,161159,1790519,335108,0,784113,17,0,1680321,361739,1284261,27485,401742,112989,4758,14824,333901,273397,741,29718,260087,107295,216,2509,263949,225009,120248,54077,97257,838361,0,267348,26035,286484,21368,188004,113904,24622,187699,84865,0,1843669,0,73102,223128,0
